location_id,state,lga_name,sa4_name,remoteness_area,population_2023_lga,population_2023_remoteness,dwelling_records
118,NSW,Singleton,Hunter Valley exc Newcastle,Inner Regional Australia,25332,4683975,9838.0
119,Qld,Gladstone,Central Queensland,Outer Regional Australia,66835,2119123,29868.0
120,NSW,Lithgow,Central West,Inner Regional Australia,20724,4683975,10236.0
121,NSW,Campbelltown,Sydney - Outer South West,Major Cities of Australia,,19343743,
122,Qld,Sunshine Coast,Sunshine Coast,Major Cities of Australia,365942,19343743,149005.0
123,NSW,Warrumbungle,Far West and Orana,Outer Regional Australia,9228,2119123,
124,Qld,Noosa,Sunshine Coast,Major Cities of Australia,58367,19343743,28715.0
125,NSW,Port Stephens,Newcastle and Lake Macquarie,Major Cities of Australia,77748,19343743,35699.0
126,Qld,Moreton Bay,Moreton Bay - North,Major Cities of Australia,510104,19343743,188327.0
127,SA,Gawler,Adelaide - North,Major Cities of Australia,26789,19343743,11126.0
128,Vic,Alpine,Hume,Inner Regional Australia,13182,4683975,7271.0
129,NSW,Cabonne,Central West,Inner Regional Australia,13880,4683975,5895.0
130,Qld,Brisbane,Ipswich,Major Cities of Australia,1323162,19343743,519431.0
131,Vic,Baw Baw,Latrobe - Gippsland,Inner Regional Australia,60644,4683975,24522.0
132,Qld,Isaac,Mackay - Isaac - Whitsunday,Remote Australia,23024,304013,11014.0
133,Qld,Maranoa,Darling Downs - Maranoa,Remote Australia,13255,304013,6510.0
134,Vic,Southern Grampians,Warrnambool and South West,Outer Regional Australia,16470,2119123,8292.0
135,NSW,Cessnock,Hunter Valley exc Newcastle,Inner Regional Australia,67591,4683975,25812.0
136,Qld,Scenic Rim,Logan - Beaudesert,Inner Regional Australia,45248,4683975,18468.0
137,Qld,Somerset,Ipswich,Inner Regional Australia,26251,4683975,11020.0
138,Qld,Hinchinbrook,Townsville,Remote Australia,11118,304013,6030.0
139,Qld,Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,126907,4683975,52308.0
140,SA,Playford,Adelaide - North,Major Cities of Australia,107069,19343743,39505.0
141,NSW,Cobar,Far West and Orana,Very Remote Australia,4078,198024,2320.0
142,Vic,Ararat,North West,Outer Regional Australia,11683,2119123,5509.0
143,SA,Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,41842,4683975,16270.0
144,NSW,Bega Valley,Capital Region,Outer Regional Australia,36279,2119123,18867.0
145,SA,Tea Tree Gully,Adelaide - North,Major Cities of Australia,103685,19343743,41034.0
146,NSW,Kiama,Illawarra,Inner Regional Australia,23002,4683975,10785.0
147,Vic,Moyne,Warrnambool and South West,Outer Regional Australia,17610,2119123,8550.0
148,NSW,Wollondilly,Sydney - Outer South West,Inner Regional Australia,57616,4683975,18918.0
149,Qld,Scenic Rim,Ipswich,Inner Regional Australia,45248,4683975,18468.0
150,Vic,Casey,Melbourne - South East,Major Cities of Australia,392110,19343743,122674.0
151,SA,Northern Areas,Barossa - Yorke - Mid North,Outer Regional Australia,4667,2119123,2424.0
152,Qld,Tablelands,Cairns,Outer Regional Australia,27259,2119123,13184.0
153,NSW,Sydney,Sydney - City and Inner South,Major Cities of Australia,231086,19343743,124114.0
154,Vic,Murrindindi,Hume,Inner Regional Australia,15482,4683975,8349.0
155,NSW,Albury,Murray,Inner Regional Australia,57517,4683975,25430.0
156,Vic,Boroondara,Melbourne - Inner East,Major Cities of Australia,174537,19343743,72924.0
157,Qld,Redland,Brisbane - East,Major Cities of Australia,166809,19343743,65216.0
158,SA,Playford,Adelaide - North,Inner Regional Australia,107069,4683975,39505.0
159,Vic,South Gippsland,Latrobe - Gippsland,Inner Regional Australia,30823,4683975,17145.0
160,Qld,Hinchinbrook,Townsville,Outer Regional Australia,11118,2119123,6030.0
161,Vic,Yarra Ranges,Melbourne - Outer East,Inner Regional Australia,158694,4683975,61574.0
162,Vic,Surf Coast,Geelong,Inner Regional Australia,39292,4683975,20678.0
163,SA,Mount Barker,Adelaide - Central and Hills,Inner Regional Australia,42297,4683975,16054.0
164,Qld,Brisbane,Brisbane - East,Major Cities of Australia,1323162,19343743,519431.0
165,NSW,Cessnock,Hunter Valley exc Newcastle,Major Cities of Australia,67591,19343743,25812.0
166,NSW,Maitland,Hunter Valley exc Newcastle,Inner Regional Australia,95957,4683975,35456.0
167,Tas,Hobart,Hobart,Inner Regional Australia,55964,4683975,24864.0
168,SA,Mitcham,Adelaide - South,Major Cities of Australia,69542,19343743,27169.0
169,NSW,Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,55323,4683975,26143.0
170,SA,Adelaide,Adelaide - Central and Hills,Major Cities of Australia,27901,19343743,14766.0
171,Tas,Clarence,Unknown,Inner Regional Australia,63663,4683975,25894.0
172,NSW,Lismore,Richmond - Tweed,Inner Regional Australia,43907,4683975,19781.0
173,Vic,Greater Shepparton,Shepparton,Inner Regional Australia,69135,4683975,28885.0
174,Vic,Moreland,Melbourne - North West,Major Cities of Australia,,19343743,78310.0
175,NSW,Narrandera,Riverina,Outer Regional Australia,5692,2119123,2694.0
176,Tas,Huon Valley,South East,Outer Regional Australia,19454,2119123,8767.0
177,Qld,Townsville,Townsville,Outer Regional Australia,201433,2119123,83412.0
178,NSW,Griffith,Riverina,Outer Regional Australia,27132,2119123,10833.0
179,Vic,Wodonga,Hume,Inner Regional Australia,44276,4683975,18214.0
180,NSW,Mid-Coast,Hunter Valley exc Newcastle,Inner Regional Australia,97909,4683975,50474.0
181,Vic,Darebin,Melbourne - Inner,Major Cities of Australia,155683,19343743,68366.0
182,Vic,Ballarat,Ballarat,Inner Regional Australia,118137,4683975,50347.0
183,NSW,Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,53109,4683975,23623.0
184,Vic,Cardinia,Melbourne - South East,Inner Regional Australia,126960,4683975,43533.0
185,Vic,Maroondah,Melbourne - Outer East,Major Cities of Australia,117434,19343743,46937.0
186,NSW,Tweed,Richmond - Tweed,Major Cities of Australia,98967,19343743,44661.0
187,Qld,North Burnett,Wide Bay,Outer Regional Australia,10352,2119123,5494.0
188,NSW,Moree Plains,New England and North West,Remote Australia,12873,304013,6230.0
189,Vic,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,170243,19343743,93602.0
190,SA,Unley,Adelaide - Central and Hills,Major Cities of Australia,39929,19343743,17360.0
191,SA,Alexandrina,South Australia - South East,Inner Regional Australia,30323,4683975,16760.0
192,Qld,Gympie,Wide Bay,Outer Regional Australia,56166,2119123,24767.0
193,Vic,Melton,Melbourne - West,Major Cities of Australia,206070,19343743,60363.0
194,Qld,Burdekin,Townsville,Outer Regional Australia,17020,2119123,8259.0
195,Vic,Knox,Melbourne - Outer East,Major Cities of Australia,161766,19343743,62012.0
196,Vic,Whittlesea,Melbourne - North East,Inner Regional Australia,245029,4683975,82993.0
197,Vic,Monash,Melbourne - South East,Major Cities of Australia,203560,19343743,76463.0
198,NSW,Unincorporated,Far West and Orana,Very Remote Australia,,198024,
199,Qld,Barcaldine,Queensland - Outback,Very Remote Australia,2894,198024,1896.0
200,Vic,Wyndham,Melbourne - West,Major Cities of Australia,324087,19343743,100363.0
201,NSW,Glen Innes Severn,New England and North West,Outer Regional Australia,8989,2119123,4610.0
202,Qld,Brisbane,Brisbane - West,Major Cities of Australia,1323162,19343743,519431.0
203,NSW,Northern Beaches,Sydney - Northern Beaches,Major Cities of Australia,267921,19343743,105115.0
204,Qld,Livingstone,Central Queensland,Outer Regional Australia,41906,2119123,17841.0
205,Vic,Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,158694,19343743,61574.0
206,Qld,Cook,Queensland - Outback,Very Remote Australia,4761,198024,3163.0
207,Tas,Clarence,Hobart,Inner Regional Australia,63663,4683975,25894.0
208,NSW,Georges River,Sydney - Inner South West,Major Cities of Australia,158051,19343743,58429.0
209,NSW,Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,95957,19343743,35456.0
210,NSW,Greater Hume,Murray,Inner Regional Australia,11445,4683975,
211,Vic,Kingston (Vic.),Melbourne - South East,Major Cities of Australia,163724,19343743,67622.0
212,Vic,Manningham,Melbourne - Inner East,Major Cities of Australia,129514,19343743,49918.0
213,NSW,Bathurst Regional,Central West,Inner Regional Australia,,4683975,18458.0
214,SA,Wudinna,South Australia - Outback,Remote Australia,1161,304013,616.0
215,NSW,Inverell,New England and North West,Outer Regional Australia,18059,2119123,8137.0
216,Vic,Brimbank,Melbourne - West,Major Cities of Australia,196046,19343743,71871.0
217,Vic,Darebin,Melbourne - North East,Major Cities of Australia,155683,19343743,68366.0
218,SA,Charles Sturt,Adelaide - West,Major Cities of Australia,127440,19343743,54847.0
219,Tas,Flinders (Tas.),Launceston and North East,Very Remote Australia,933,198024,689.0
220,Tas,Burnie,West and North West,Outer Regional Australia,20463,2119123,9274.0
221,Vic,Greater Geelong,Geelong,Major Cities of Australia,282809,19343743,120823.0
222,SA,Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,41842,19343743,16270.0
223,SA,Onkaparinga,Adelaide - South,Inner Regional Australia,180865,4683975,75493.0
224,Vic,Stonnington,Melbourne - Inner South,Major Cities of Australia,111335,19343743,59609.0
225,Tas,Launceston,Launceston and North East,Outer Regional Australia,71788,2119123,31369.0
226,Vic,Indigo,Hume,Inner Regional Australia,17662,4683975,7750.0
227,Vic,Yarra,Melbourne - Inner,Major Cities of Australia,97448,19343743,50059.0
228,Vic,Port Phillip,Melbourne - Inner,Major Cities of Australia,109515,19343743,63301.0
229,NT,Unknown,Unknown,Unknown,,,
230,Tas,Waratah-Wynyard,West and North West,Outer Regional Australia,14767,2119123,6909.0
231,Vic,Campaspe,Shepparton,Inner Regional Australia,38299,4683975,17840.0
232,NT,Barkly,Northern Territory - Outback,Very Remote Australia,7239,198024,2932.0
233,NSW,Blacktown,Sydney - Parramatta,Major Cities of Australia,426202,19343743,133984.0
234,NSW,Blayney,Central West,Inner Regional Australia,7644,4683975,3246.0
235,SA,Campbelltown (SA),Adelaide - Central and Hills,Major Cities of Australia,57160,19343743,23247.0
236,Vic,Latrobe (Vic.),Latrobe - Gippsland,Inner Regional Australia,78154,4683975,35685.0
237,NT,Palmerston,Darwin,Outer Regional Australia,41113,2119123,14542.0
238,NSW,Gunnedah,New England and North West,Outer Regional Australia,13280,2119123,5842.0
239,Tas,Break O'Day,Launceston and North East,Outer Regional Australia,,2119123,4850.0
240,Vic,Buloke,North West,Outer Regional Australia,6040,2119123,3397.0
241,Vic,West Wimmera,North West,Outer Regional Australia,3933,2119123,2255.0
242,NSW,Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,126983,19343743,45894.0
243,Vic,Casey,Melbourne - South East,Inner Regional Australia,392110,4683975,122674.0
244,NSW,Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,109895,4683975,58799.0
245,Vic,Warrnambool,Warrnambool and South West,Inner Regional Australia,35907,4683975,16025.0
246,NSW,Berrigan,Murray,Inner Regional Australia,8643,4683975,4265.0
247,NSW,Warren,Far West and Orana,Remote Australia,2583,304013,1228.0
248,NT,Victoria Daly,Northern Territory - Outback,Very Remote Australia,3295,198024,1232.0
249,Vic,Moira,Shepparton,Inner Regional Australia,30775,4683975,14948.0
250,Qld,Brisbane,Brisbane - North,Major Cities of Australia,1323162,19343743,519431.0
251,SA,Berri Barmera,South Australia - South East,Outer Regional Australia,10730,2119123,5257.0
252,Vic,Moonee Valley,Melbourne - Inner,Major Cities of Australia,126486,19343743,55115.0
253,NT,Litchfield,Darwin,Outer Regional Australia,23415,2119123,8883.0
254,Vic,Greater Dandenong,Melbourne - South East,Major Cities of Australia,163792,19343743,58198.0
255,Vic,Golden Plains,Geelong,Inner Regional Australia,25818,4683975,9408.0
256,Qld,Toowoomba,Darling Downs - Maranoa,Outer Regional Australia,181821,2119123,74054.0
257,Vic,Moonee Valley,Melbourne - North West,Major Cities of Australia,126486,19343743,55115.0
258,SA,Onkaparinga,Adelaide - South,Major Cities of Australia,180865,19343743,75493.0
259,NSW,Inner West,Sydney - Inner West,Major Cities of Australia,188325,19343743,85462.0
260,SA,Whyalla,South Australia - Outback,Outer Regional Australia,21902,2119123,11247.0
261,Qld,Rockhampton,Central Queensland,Outer Regional Australia,84517,2119123,35813.0
262,SA,Unincorporated SA,South Australia - Outback,Remote Australia,3015,304013,2910.0
263,Qld,Gladstone,Central Queensland,Inner Regional Australia,66835,4683975,29868.0
264,Qld,Noosa,Sunshine Coast,Inner Regional Australia,58367,4683975,28715.0
265,Qld,Mount Isa,Queensland - Outback,Remote Australia,18945,304013,9053.0
266,Vic,Kingston (Vic.),Melbourne - Inner South,Major Cities of Australia,163724,19343743,67622.0
267,Qld,Toowoomba,Darling Downs - Maranoa,Inner Regional Australia,181821,4683975,74054.0
268,Vic,Maribyrnong,Melbourne - West,Major Cities of Australia,91762,19343743,40501.0
269,SA,Marion,Adelaide - South,Major Cities of Australia,98493,19343743,41654.0
270,Qld,Gold Coast,Gold Coast,Inner Regional Australia,666087,4683975,270761.0
271,Vic,Mildura,North West,Outer Regional Australia,57554,2119123,25371.0
272,NSW,Hornsby,Sydney - North Sydney and Hornsby,Inner Regional Australia,154072,4683975,55952.0
273,Vic,Mansfield,Hume,Outer Regional Australia,10546,2119123,6619.0
274,Qld,Charters Towers,Townsville,Very Remote Australia,12013,198024,5974.0
275,NSW,Richmond Valley,Richmond - Tweed,Inner Regional Australia,23705,4683975,10692.0
276,NSW,Sutherland,Sydney - Sutherland,Inner Regional Australia,235029,4683975,
277,NSW,Mid-Western Regional,Central West,Inner Regional Australia,,4683975,12262.0
278,Vic,Hume,Melbourne - North West,Major Cities of Australia,262764,19343743,83980.0
279,NSW,Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,174294,19343743,74585.0
280,Tas,West Tamar,Launceston and North East,Inner Regional Australia,26039,4683975,11308.0
281,Vic,Glen Eira,Melbourne - Inner South,Major Cities of Australia,156837,19343743,66235.0
282,Qld,Sunshine Coast,Sunshine Coast,Inner Regional Australia,365942,4683975,149005.0
283,Vic,Nillumbik,Melbourne - North East,Major Cities of Australia,63264,19343743,22406.0
284,Vic,Yarriambiack,North West,Remote Australia,6389,304013,3598.0
285,Vic,Pyrenees,Ballarat,Inner Regional Australia,7786,4683975,3939.0
286,NSW,Unincorporated,Far West and Orana,Remote Australia,,304013,
287,NSW,Strathfield,Sydney - Inner South West,Major Cities of Australia,47824,19343743,18287.0
288,NSW,Bayside,Sydney - Inner South West,Major Cities of Australia,,19343743,
289,NSW,Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,80489,4683975,34696.0
290,NSW,Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,219249,4683975,88908.0
291,Qld,Bundaberg,Wide Bay,Outer Regional Australia,104166,2119123,46081.0
292,SA,Mid Murray,South Australia - South East,Inner Regional Australia,9496,4683975,7413.0
293,SA,Murray Bridge,South Australia - South East,Inner Regional Australia,22901,4683975,10164.0
294,NSW,Murray River,Murray,Outer Regional Australia,13326,2119123,6268.0
295,NSW,Camden,Sydney - Outer South West,Major Cities of Australia,134811,19343743,39601.0
296,Tas,Glenorchy,Hobart,Inner Regional Australia,50808,4683975,21879.0
297,NSW,Hornsby,Sydney - North Sydney and Hornsby,Major Cities of Australia,154072,19343743,55952.0
298,NSW,Randwick,Sydney - Eastern Suburbs,Major Cities of Australia,141840,19343743,59965.0
299,NSW,Strathfield,Sydney - Inner West,Major Cities of Australia,47824,19343743,18287.0
300,NSW,Hunters Hill,Sydney - Ryde,Major Cities of Australia,14036,19343743,5323.0
301,Vic,Wangaratta,Hume,Inner Regional Australia,30002,4683975,13677.0
302,NSW,Parkes,Central West,Outer Regional Australia,14256,2119123,6697.0
303,NSW,Dubbo Regional,Far West and Orana,Outer Regional Australia,,2119123,22823.0
304,NSW,Byron,Richmond - Tweed,Inner Regional Australia,37126,4683975,16996.0
305,NSW,Cabonne,Far West and Orana,Outer Regional Australia,13880,2119123,5895.0
306,ACT,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,466566,4683975,187156.0
307,Vic,Moorabool,Ballarat,Inner Regional Australia,39092,4683975,15473.0
308,Qld,Isaac,Mackay - Isaac - Whitsunday,Outer Regional Australia,23024,2119123,11014.0
309,Vic,Benalla,Hume,Inner Regional Australia,14529,4683975,7211.0
310,NSW,Bellingen,Coffs Harbour - Grafton,Inner Regional Australia,13231,4683975,6390.0
311,Vic,Wellington,Latrobe - Gippsland,Inner Regional Australia,46124,4683975,23554.0
312,NSW,Central Coast,Central Coast,Inner Regional Australia,,4683975,
313,NSW,Edward River,Murray,Outer Regional Australia,8430,2119123,4252.0
314,SA,Coorong,South Australia - South East,Outer Regional Australia,5612,2119123,3106.0
315,Tas,George Town,Launceston and North East,Outer Regional Australia,7330,2119123,3685.0
316,NSW,Ryde,Sydney - Ryde,Major Cities of Australia,135716,19343743,55742.0
317,Vic,Bass Coast,Latrobe - Gippsland,Inner Regional Australia,42729,4683975,28981.0
318,Qld,Richmond,Queensland - Outback,Very Remote Australia,781,198024,438.0
319,Vic,Strathbogie,Hume,Inner Regional Australia,11578,4683975,6164.0
320,NSW,Hay,Murray,Remote Australia,2830,304013,1552.0
321,NSW,Weddin,Central West,Outer Regional Australia,3616,2119123,1869.0
322,Vic,Moorabool,Melbourne - West,Inner Regional Australia,39092,4683975,15473.0
323,Vic,Moira,Shepparton,Outer Regional Australia,30775,2119123,14948.0
324,NSW,Lachlan,Central West,Outer Regional Australia,6147,2119123,3014.0
325,NSW,Waverley,Sydney - Eastern Suburbs,Major Cities of Australia,71414,19343743,32850.0
326,Vic,Northern Grampians,North West,Outer Regional Australia,11879,2119123,6253.0
